input_value,feature,score,score_std,intercept
Accura,Make,0.4664476295286881,0.08805217288825203,-0.5263464199912715
BMW,Make,0.4198476708042467,1.154766617091435,-0.5263464199912715
Chevrolet,Make,-0.17440411757986143,0.048227132993710654,-0.5263464199912715
Dodge,Make,-0.11330252316609501,0.1303917374461006,-0.5263464199912715
Ford,Make,0.1329762478796002,0.1657525000934506,-0.5263464199912715
Honda,Make,-0.2538979915595877,0.042023205721656444,-0.5263464199912715
Jaguar,Make,-0.2095347435235921,0.06890470874318437,-0.5263464199912715
Mazda,Make,0.020216097400220075,0.07344210191492341,-0.5263464199912715
Mecedes,Make,-0.029320441683339034,0.20650066810127435,-0.5263464199912715
Mercury,Make,0.1541964940408605,0.27016593216013546,-0.5263464199912715
Nisson,Make,-1.738250181831521,1.2068527657807064,-0.5263464199912715
Pontiac,Make,0.14643443442126772,0.04005519990961797,-0.5263464199912715
Porche,Make,0.13567756874000714,0.09229852291562227,-0.5263464199912715
Saab,Make,0.4126031058415523,0.18468399363872426,-0.5263464199912715
Saturn,Make,0.4307315232242801,0.31112946706454075,-0.5263464199912715
Toyota,Make,-0.11003665440639444,0.04716115565537794,-0.5263464199912715
VW,Make,-0.25444738654303356,0.15693514393374108,-0.5263464199912715
30000 to 59000,VehiclePrice_num,-0.3380990470884672,0.04294804783000955,-0.5263464199912715
less than 30000,VehiclePrice_num,0.07316122125004842,0.016007906842663195,-0.5263464199912715
more than 60000,VehiclePrice_num,0.02839765676411909,0.04602324667060617,-0.5263464199912715
Sedan,VehicleCategory,0.02457764199182745,0.0038655238558937613,-0.5263464199912715
Sport,VehicleCategory,-5.041759462108844,0.6180703316189916,-0.5263464199912715
Utility,VehicleCategory,-0.041308727582808825,0.035522735292063026,-0.5263464199912715
2 years,AgeOfVehicle,-4.154114971630438,1.6129787336791932,-0.5263464199912715
3 years,AgeOfVehicle,-0.44959510712453954,0.32545132023809814,-0.5263464199912715
4 years,AgeOfVehicle,-0.3461639062295542,0.14483123595365424,-0.5263464199912715
5 years,AgeOfVehicle,-0.13338923944981151,0.12688022206764363,-0.5263464199912715
6 years,AgeOfVehicle,0.20345023188069447,0.08509816653317108,-0.5263464199912715
