feature,score,score_std,input_value,intercept
Age,1.0047921948405187,0.3427562742903482,0.0,-0.5263464199912715
Age,0.9479793964073723,0.5712615576112502,16.0,-0.5263464199912715
Age,0.9479793964073723,0.5712615576112502,17.0,-0.5263464199912715
Age,0.9479793964073723,0.5712615576112502,18.0,-0.5263464199912715
Age,-1.1671292177132482,1.1059227171913388,19.0,-0.5263464199912715
Age,-3.868455540633409,2.3601033968786753,20.0,-0.5263464199912715
Age,-3.8704773604545877,2.3599342808986403,21.0,-0.5263464199912715
Age,0.3551980512150124,0.29523993484010297,22.0,-0.5263464199912715
Age,-0.7001864356519649,0.5348019289383211,23.0,-0.5263464199912715
Age,-1.2822966892579113,0.6722145214753867,24.0,-0.5263464199912715
Age,-0.759870850097377,0.21127183070035982,25.0,-0.5263464199912715
Age,-0.8333528393729953,0.23059543660230458,26.0,-0.5263464199912715
Age,-0.875667508321524,0.3274376307701974,27.0,-0.5263464199912715
Age,-0.12485378979412477,0.26928304498446654,28.0,-0.5263464199912715
Age,-0.6389647287143637,0.2963202539453714,29.0,-0.5263464199912715
Age,-0.3700366830354992,0.24771665573260826,30.0,-0.5263464199912715
Age,-0.46035646610772846,0.2751267033631719,31.0,-0.5263464199912715
Age,-0.35581817064263127,0.28033645940288676,32.0,-0.5263464199912715
Age,-0.41783492949586,0.2884802564630862,33.0,-0.5263464199912715
Age,-0.8852248374005734,0.3653386412944806,34.0,-0.5263464199912715
Age,0.10507860727284557,0.16792202224211322,35.0,-0.5263464199912715
Age,-0.016734169583973318,0.1393793730010342,36.0,-0.5263464199912715
Age,-0.2692804247293738,0.17355465324156097,37.0,-0.5263464199912715
Age,-0.41287392914184057,0.2930346086785663,38.0,-0.5263464199912715
Age,-0.8463568003530371,0.3066901504047432,39.0,-0.5263464199912715
Age,0.1080390126700375,0.15407018875789508,40.0,-0.5263464199912715
Age,-0.2437067961636483,0.1904517001134444,41.0,-0.5263464199912715
Age,-0.7056050715886062,0.2763313186042582,42.0,-0.5263464199912715
Age,-0.5202030060994102,0.21410398760306282,43.0,-0.5263464199912715
Age,-0.46963669340110004,0.20372216853507227,44.0,-0.5263464199912715
Age,-0.5495895050124081,0.19082061471668357,45.0,-0.5263464199912715
Age,-0.8609036301499726,0.2663438429181204,46.0,-0.5263464199912715
Age,-1.4677268249968787,0.5506005789352103,47.0,-0.5263464199912715
Age,-0.4482009112667382,0.12132359574902134,48.0,-0.5263464199912715
Age,-0.79247262168615,0.24260294215131623,49.0,-0.5263464199912715
Age,-0.22936654427599726,0.29079419056166217,50.0,-0.5263464199912715
Age,-0.4072459821723778,0.18730202518249245,51.0,-0.5263464199912715
Age,-0.7328027199786632,0.3953268710944011,52.0,-0.5263464199912715
Age,-0.43548618621767454,0.18599458191704318,53.0,-0.5263464199912715
Age,-0.41465085618173286,0.1548357548831657,54.0,-0.5263464199912715
Age,-0.5080988124719512,0.13902458820444186,55.0,-0.5263464199912715
Age,-0.6906392603342272,0.25802902561726615,56.0,-0.5263464199912715
Age,-0.6843340417133217,0.26255334678753006,57.0,-0.5263464199912715
Age,-0.2659004532184599,0.15277629326525188,58.0,-0.5263464199912715
Age,-1.0399194771110885,0.6655668338693451,59.0,-0.5263464199912715
Age,-0.594076776912959,0.23191797155682312,60.0,-0.5263464199912715
Age,0.12936054240661296,0.23328708467726747,61.0,-0.5263464199912715
Age,-0.15951075523301733,0.15359024534022436,62.0,-0.5263464199912715
Age,-0.8995010466133739,0.48000742954013315,63.0,-0.5263464199912715
Age,0.00023614636485173,0.12367367185545158,64.0,-0.5263464199912715
Age,-0.24486197561523168,0.16874103120897724,65.0,-0.5263464199912715
Age,-0.3719945152542973,0.2256442000399536,66.0,-0.5263464199912715
Age,-0.45418218539514826,0.2959957678668507,67.0,-0.5263464199912715
Age,0.7264801563284915,0.34265364893668643,68.0,-0.5263464199912715
Age,-1.0425421168226152,0.7796089841241978,69.0,-0.5263464199912715
Age,-2.216633831686981,0.9390306482532496,70.0,-0.5263464199912715
Age,-2.2169582761247635,0.9390768439386857,71.0,-0.5263464199912715
Age,0.7979470502968201,0.15150298851542798,72.0,-0.5263464199912715
Age,-0.3397398409958155,0.5409167659584888,73.0,-0.5263464199912715
Age,-0.5366523837308678,0.7042439902792897,74.0,-0.5263464199912715
Age,-2.6788485978340613,1.3063234334303802,75.0,-0.5263464199912715
Age,-0.9339841307778678,1.10111075092603,76.0,-0.5263464199912715
Age,-2.695655490023222,1.5461126933082947,77.0,-0.5263464199912715
Age,-1.0113431981163687,0.960367277059304,78.0,-0.5263464199912715
Age,-5.205365564599429,1.5320422630927772,79.0,-0.5263464199912715
Age,-5.213049785687595,1.5289305266397544,80.0,-0.5263464199912715
Deductible,5.59252300250114,2.3093069798527837,300.0,-0.5263464199912715
Deductible,-0.02626003855100618,0.0062814659467352275,400.0,-0.5263464199912715
Deductible,1.0842037609055992,0.20327593836441052,500.0,-0.5263464199912715
Deductible,0.02136174772292393,0.13077477037395352,700.0,-0.5263464199912715
DriverRating,-1.1199257735174755,0.21547187080391225,1.0,-0.5263464199912715
DriverRating,-1.2469377699027162,0.1914267131555363,2.0,-0.5263464199912715
DriverRating,-1.1556361523251693,0.20659929188859558,3.0,-0.5263464199912715
DriverRating,-0.9355744988917275,0.20937894665506854,4.0,-0.5263464199912715
