input_value,feature,score,score_std,intercept
Accura,Make,0.667723799667497,0.1502892483290784,-1.0523352210924692
BMW,Make,-2.30746511236455,1.6042529054490566,-1.0523352210924692
Chevrolet,Make,-0.0015362628785272857,0.0664905990429595,-1.0523352210924692
Dodge,Make,-0.9112088570796089,0.313558976752964,-1.0523352210924692
Ferrari,Make,-0.9596132345384286,0.3881453309049703,-1.0523352210924692
Ford,Make,-0.5987034753761331,0.18191992623508998,-1.0523352210924692
Honda,Make,0.11588423573832017,0.03106261642897343,-1.0523352210924692
Jaguar,Make,-0.0075849215855313635,0.03980983572638983,-1.0523352210924692
Mazda,Make,-0.03843500221414609,0.03827598194599349,-1.0523352210924692
Mecedes,Make,-0.9478296856938361,1.109895676683804,-1.0523352210924692
Mercury,Make,-1.0120221335544988,1.0990800828285205,-1.0523352210924692
Nisson,Make,0.002191720290567996,0.18874248284205475,-1.0523352210924692
Pontiac,Make,-0.05747648535243206,0.03078827330319413,-1.0523352210924692
Porche,Make,-0.3392646455345791,0.48324711029683154,-1.0523352210924692
Saab,Make,0.10286185534668091,0.1479009655554014,-1.0523352210924692
Saturn,Make,-0.028778546677245807,0.07554043301616727,-1.0523352210924692
Toyota,Make,0.08984687120771277,0.03726123063936764,-1.0523352210924692
VW,Make,-0.9110184420196706,0.20805526772445512,-1.0523352210924692
30000 to 59000,VehiclePrice_num,0.19986180090508165,0.04812168982199616,-1.0523352210924692
less than 30000,VehiclePrice_num,-0.05678887215115182,0.025987953703855676,-1.0523352210924692
more than 60000,VehiclePrice_num,-0.15036548424827023,0.11762017369934918,-1.0523352210924692
Sedan,VehicleCategory,-0.02047785403860901,0.002593812724234002,-1.0523352210924692
Sport,VehicleCategory,0.29677728887308924,0.0386278851192502,-1.0523352210924692
Utility,VehicleCategory,0.1489687097916764,0.2504865856220724,-1.0523352210924692
2 years,AgeOfVehicle,-1.122223889851239,0.5508306545854329,-1.0523352210924692
3 years,AgeOfVehicle,0.04798532577516193,0.2006572324874843,-1.0523352210924692
4 years,AgeOfVehicle,0.10952555939023606,0.15453387766772744,-1.0523352210924692
5 years,AgeOfVehicle,0.33874035108065076,0.07236709546103132,-1.0523352210924692
6 years,AgeOfVehicle,0.09794730771944798,0.055404937214390736,-1.0523352210924692
7 years,AgeOfVehicle,-0.04543765771971425,0.03398329529588054,-1.0523352210924692
more than 7,AgeOfVehicle,-0.1166631812346705,0.04461583434510345,-1.0523352210924692
new,AgeOfVehicle,-1.0053613988498507,0.5730310986437435,-1.0523352210924692
Female,Sex,-0.4886559042593253,0.025326174576954297,-1.0523352210924692
Male,Sex,0.07955568817792492,0.004123231152681635,-1.0523352210924692
Divorced,MaritalStatus,-1.4129074676116802,1.268863843969576,-1.0523352210924692
Married,MaritalStatus,0.07953869153887867,0.016505235265909093,-1.0523352210924692
Single,MaritalStatus,-0.16111344868114358,0.038356213048157665,-1.0523352210924692
Widow,MaritalStatus,0.9013549596575666,0.3986177871431633,-1.0523352210924692
16 to 17,AgeOfPolicyHolder,-0.06316931393189797,0.231659979145673,-1.0523352210924692
